tag,text,chunk_file,speaker_age,nationality,ethnicity,gender,year,gold_label,probe_tag,_score_internal
17CF24-3268-22SGCHF00-2015,Haven't planned yet! But maybe ab. Are y'all taking stats 2???,COSEM_v5_chunk_309.txt,22,SG,CH,F,2015,neu,,0
21DC55-765-21SGCHF0S-2020,wah damn sian i don’t want to pay again n keep failing,COSEM_v5_chunk_1345.txt,21,SG,CH,F,2020,neg,H2_codeswitch,6
21DC20-9641-22SGCHMWH-2019,I don’t think I can go emo night sia sian,COSEM_v5_chunk_1178.txt,22,SG,CH,M,2019,neg,H2_codeswitch,6
17CF03-36363-21SGCHF00-2017,Not suitable for someone who didn't sleep last night tho,COSEM_v5_chunk_41.txt,21,SG,CH,F,2017,neg,,0
17CF22-1953-21SGMAM00-2016,‬: It's okay Sia I rather find a way to fix it than tell coycoms all why got hole Sia‬,COSEM_v5_chunk_299.txt,21,SG,MA,M,2016,neu,,6
17CF18-6041-22SGCHM00-2016,‬: Can 13? I damn sian of can 14 food liao‬‬‬‬‬‬‬‬,COSEM_v5_chunk_274.txt,22,SG,CH,M,2016,neg,H2_codeswitch,7
21DC09-1920-47SGCHFSF-2019,Hello 4 swee swee ladies next week Monday ser lang in charge to buy the travel insurance hor,COSEM_v5_chunk_1094.txt,47,SG,CH,F,2019,pos,H2_codeswitch,8
17CM04-503-24SGCHM00-2015,Lol meet to eat and you ate. I eat my dinner at home too then,COSEM_v5_chunk_475.txt,24,SG,CH,M,2015,neg,H3_sarcasm,0
17CF34-44559-21SGCHF00-2014,I insisted on getting 111/115 but sold out alr,COSEM_v5_chunk_404.txt,21,SG,CH,F,2014,neg,,0
17CF07-3253-21SGCHF00-2015,Mum wants me to take SATs just so I'll stop going out lol,COSEM_v5_chunk_52.txt,21,SG,CH,F,2015,neg,,0
18CM08-9112-43SGCHM00-2016,Wa‼️ now you golf game has become very steady lor...who do you wants to kill ❓❓😅,COSEM_v5_chunk_776.txt,43,SG,CH,M,2016,neg,H3_sarcasm,7
17CF34-24259-20SGCHF00-2013,Sianz hope everything goes back to normal soon,COSEM_v5_chunk_384.txt,20,SG,CH,F,2013,neg,H2_codeswitch,0
17CM02-16041-19SGCHF00-2016,?: But the 2nd study is like randomised and blinded somemore leh? And like even if you control some it doesnt mean there are no other confounding variables present lehh??,COSEM_v5_chunk_463.txt,19,SG,CH,F,2016,neg,H1_particle,6
18CM08-8730-53SGCHM00-2016,Don't forget got one power guy here also but he's very quiet ... JA/M/CH/44 use 3 wood already 200+ lor 😱💪🏻👍🏻,COSEM_v5_chunk_776.txt,53,SG,CH,M,2016,neg,H3_sarcasm,7
18CF50-11729-21SGCHM00-2016,Average lor compared to my close grp of friends I most cui liao mostly b+,COSEM_v5_chunk_654.txt,21,SG,CH,M,2016,neg,H1_particle,7
17CF30-3513-20SGCHM00-2015,Wah u guys are really good storytellers sia I inNS all guys also can get rumoured with a girl nice one sia u guys???,COSEM_v5_chunk_340.txt,20,SG,CH,M,2015,neg,H3_sarcasm,7
17CF36-5408-22SGCHF00-2016,Wah wah wah why you eating such good food,COSEM_v5_chunk_435.txt,22,SG,CH,F,2016,pos,H1_particle,7
18CF49-1927-21SGCHF00-2016,not the same meaning BUT THE CHINESE IS THE SAME,COSEM_v5_chunk_638.txt,21,SG,CH,F,2016,neu,,0
21DC40-1614-20SGCHFWY-2020,Wah you very fast leh 0.0 ill send when i do 😅 very behind on work now thx to fas1102 urrghhh worst mod ever 🤦‍♀,COSEM_v5_chunk_1305.txt,20,SG,CH,F,2020,neg,H3_sarcasm,7
19CF02-625-25CNCHM00-2017,Ya sia p6 damn stress eh. I don't dare take sia,COSEM_v5_chunk_899.txt,25,CN,CH,M,2017,neg,H1_particle,6
19CF02-396-23SGCHM00-2017,wah why u all go airport bojio sia. sian didnt know 22BCHF hates me as well,COSEM_v5_chunk_899.txt,23,SG,CH,M,2017,neg,H1_particle,7
17CF12-7621-22SGCHM00-2015,Shiok sia I can really help you a lot sia.,COSEM_v5_chunk_131.txt,22,SG,CH,M,2015,pos,H2_codeswitch,7
17CF34-3852-21SGCHF00-2012,But it's more ex... Anyway Lix helping me preo,COSEM_v5_chunk_364.txt,21,SG,CH,F,2012,neu,,0
17CF18-6773-21SGCHF00-2016,‬: Eh ahdu not pest eh he my son eh‬‬‬‬‬‬‬‬,COSEM_v5_chunk_274.txt,21,SG,CH,F,2016,neu,,8
18CF54-9409-19SGCHF00-2015,Wah siao i duidnt know our class Marks so emotional one😂😅,COSEM_v5_chunk_693.txt,19,SG,CH,F,2015,neg,H3_sarcasm,7
18MF02-8356-23SGCHF00-2014,Wah wah wah who is he sia never hear before,COSEM_v5_chunk_841.txt,23,SG,CH,F,2014,neu,,8
21DC09-9906-42SGCHFGH-2020,*DOSCON Alert Level* Hokkien translation_ ✅ Green:  Bo dai ji 🎗 Yellow: Mai kia 🔶 Orange: Kan cheong liao Red: Xiao liao,COSEM_v5_chunk_1102.txt,42,SG,CH,F,2020,neu,,6
21DC37-2660-23SGCHF0B-2020,like she thought they cui then end up she cui,COSEM_v5_chunk_1264.txt,23,SG,CH,F,2020,neg,H2_codeswitch,6
18MF03-3483-24SGMAF00-2017,hahah tak payah fill in just go je pun boleh kan,COSEM_v5_chunk_847.txt,24,SG,MA,F,2017,neu,H2_codeswitch,0
18CF55-46452-50SGCHF00-2017,Jialat liao. My salary will be freeze till I retire. 😭😭😭,COSEM_v5_chunk_749.txt,50,SG,CH,F,2017,neg,H1_particle,7
18OF03-470-20SGCHF00-2017,north south east west central 5 area 1 sg aye,COSEM_v5_chunk_873.txt,20,SG,CH,F,2017,neu,,0
18CF37-3682-21SGCHM00-2014,Eh shit now farahana dont want go liao ,COSEM_v5_chunk_519.txt,21,SG,CH,M,2014,neg,,6
21DC02-279-26SGMAFAM-2020,"<name omitted>, <name omitted> nk Spotify premium tk",COSEM_v5_chunk_1060.txt,26,SG,MA,F,2020,neu,,0
21DC08-212-20SGCHF0B-2018,Wah siao Hahaha I’m okay for either supper or dinner But not both  😂,COSEM_v5_chunk_1092.txt,20,SG,CH,F,2018,neg,H2_codeswitch,7
17CF24-2734-25SGCHM00-2015,Wah sian I dun have any white shirts lehh,COSEM_v5_chunk_308.txt,25,SG,CH,M,2015,neg,H2_codeswitch,7
17CF03-22418-21SGCHF00-2017,Okay it is more of I don't know where to put them,COSEM_v5_chunk_27.txt,21,SG,CH,F,2017,neu,,0
21DC14-529-29SGCHM0A-2021,Eh wah shiok sia tmr go hmhm straightaway got hokkien mee eat hehehe,COSEM_v5_chunk_1139.txt,29,SG,CH,M,2021,pos,H1_particle,9
21DC09-8742-34SGCHFJP-2020,Sweet n nice n siao siao to certain pple only,COSEM_v5_chunk_1101.txt,34,SG,CH,F,2020,neg,H2_codeswitch,6
17CM02-2010-21SGCHM00-2016,Eh i need u to tell me what's the first impression u had of me HAHA im very curious now after what u wrote got that bad meh?!,COSEM_v5_chunk_449.txt,21,SG,CH,M,2016,neg,H1_particle,7
17CF34-22667-20SGCHF00-2013,Best song ever is gonna be the best song ever,COSEM_v5_chunk_382.txt,20,SG,CH,F,2013,pos,,8
18CF43-3209-24SGCHM00-2017,isit you all hate me 😢 isit i very bad song ic 😢😢,COSEM_v5_chunk_611.txt,24,SG,CH,M,2017,neg,,7
17CF08-211-23SGINM00-2014,"Now that you look like this, all the sarakku will trail behind you..",COSEM_v5_chunk_69.txt,23,SG,IN,M,2014,neg,H2_codeswitch,0
21DC48-127-19SGCHF0R-2017,Good job heheh😊🙆🏻 it was realllyyyy good cui fen and director HAHAHAHAHA REST WELL GUYS!!!!,COSEM_v5_chunk_1320.txt,19,SG,CH,F,2017,pos,,8
21DC20-15291-21SGCHMRN-2019,"Swee Choon boys&girls: CG/M/CH/22 JT/M/CH/21 DT/M/CH/22 Remove name once paid to AC/F/CH/20! $15.35 to AC/F/CH/20, for taxi and Swee Choon",COSEM_v5_chunk_1184.txt,21,SG,CH,M,2019,neu,,6
18CM08-14612-53SGCHM00-2017,Walao AN/M/CH/48 you power yah hahha 😱🤭😯,COSEM_v5_chunk_780.txt,53,SG,CH,M,2017,neg,H3_sarcasm,7
21DC20-13868-20SGCHFAC-2019,YA SIA!! Some say last 3 have forfiettt 😥😥 OGLS included hor!,COSEM_v5_chunk_1182.txt,20,SG,CH,F,2019,neu,,7
21DC28-2381-23SGCHF00-2019,Like volunteers from progs or partnerships team who knows more about the event compared to volunteers from other teams?,COSEM_v5_chunk_1214.txt,23,SG,CH,F,2019,neu,,0
17CF30-1709-20SGCHM00-2013,Siao stupid monster go change rules ur team a reallydamn suay leh,COSEM_v5_chunk_338.txt,20,SG,CH,M,2013,neg,H2_codeswitch,6
18CM09-812-23SGMAM00-2016,happy birthday J/M/CH/24 😘😘 wah big boy 22 alr hor,COSEM_v5_chunk_781.txt,23,SG,MA,M,2016,pos,,6
18IF05-18621-53SGINM00-2016,Wah serenity prayer. Steady lah T/M/IN/53,COSEM_v5_chunk_827.txt,53,SG,IN,M,2016,pos,,7
18CF41-31793-23SGINM00-2017,Probably will put it back when everything else is fixed,COSEM_v5_chunk_592.txt,23,SG,IN,M,2017,neu,,0
18OF02-517-21SGEUF00-2016,wah JC/M/SC/24 u good eh. did u do any work today?😂😂😂😂,COSEM_v5_chunk_870.txt,21,SG,EU,F,2016,neg,H3_sarcasm,7
18CF39-20702-25SGMAM00-2017,ya. havent really had too much time also between finishing summer sem and filling my emt volunteer hours,COSEM_v5_chunk_552.txt,25,SG,MA,M,2017,neg,,0
17CF20-2078-20SGCHF00-2015,Abt the guy girl thing wow ur dector power sia. Maybe just eh slide out quietly at times to let them er develop?,COSEM_v5_chunk_286.txt,20,SG,CH,F,2015,pos,,7
21DC09-3521-34SGCHFJP-2019,Hoi but there r diff types of char boh leh.. its not that we r like hippo lidat,COSEM_v5_chunk_1096.txt,34,SG,CH,F,2019,neu,,7
19SF01-46767-20SGSIFNA-2018,sian sian im so tired just cant wait for today to end then i can sleep till like 2pm tmr,COSEM_v5_chunk_1055.txt,20,SG,SI,F,2018,neg,H2_codeswitch,6
21DC45-1460-19SGCHFXY-2018,The only eh wa you do is eh wa eh wa eh wa,COSEM_v5_chunk_1313.txt,19,SG,CH,F,2018,neu,,8
18CM08-1521-48SGCHM00-2016,Sibei heng sibei song sibei talented sibei fortunately sibei swee.😅😅😅,COSEM_v5_chunk_771.txt,48,SG,CH,M,2016,pos,H2_codeswitch,8
18CF43-677-24SGCHM00-2017,i think is not bad for a first video 👏👏👏 my song IC comment is to familiarise yourself with the song and moves! the song supposed to be generally quite chill so dont rush through the moves and enjoy yourselves,COSEM_v5_chunk_608.txt,24,SG,CH,M,2017,pos,,12
21DC18-2225-21SGCHMHW-2020,"Really meh? I dont think he that good sia	honestly",COSEM_v5_chunk_1150.txt,21,SG,CH,M,2020,neg,H1_particle,7
17CF11-5772-20SGCHF00-2015,Eh sian my og damn awkz now how to advertise sia,COSEM_v5_chunk_107.txt,20,SG,CH,F,2015,neg,H1_particle,7
18CF48-6378-20SGCHF00-2017,It's in my room on the floor in the plastic bag,COSEM_v5_chunk_634.txt,20,SG,CH,F,2017,neu,,0
21DC36-2558-23IDXXF0S-2019,eh sian train to Richmond not coming sia,COSEM_v5_chunk_1257.txt,23,ID,XX,F,2019,neg,H1_particle,7
18CM08-3282-43SGCHM00-2016,With Pro Daniel's advice still Chui Chui huh❓❓,COSEM_v5_chunk_772.txt,43,SG,CH,M,2016,neg,H2_codeswitch,8
